Ano,Campeão (Promovido),2º (Promovido),3º (Promovido),4º (Promovido)
1,Londrina,Operário Ferroviário,Ferroviário,Cuiabá
2,Manaus FC,Brasil de Pelotas,CSA,Atlético Goianiense
3,Náutico,Botafogo-SP,Chapecoense,Fortaleza
4,Cuiabá,Operário Ferroviário,Remo,Londrina
5,Guarani,Brasil de Pelotas,Náutico,Ceará
6,Ipatinga,Operário Ferroviário,Ferroviário,Atlético Goianiense
7,Goiás,Paraná,Sport,Santa Cruz
8,Guarani,Ipatinga,CRB,Figueirense
9,Mirassol,Juventude,Brasil de Pelotas,Ferroviário
10,Portuguesa,Guarani,ABC,Figueirense
11,Atlético Goianiense,Paysandu,Operário Ferroviário,Santa Cruz
12,Chapecoense,Brasil de Pelotas,Atlético Acreano,Paraná
13,Botafogo-SP,Ypiranga-RS,Brasiliense,Manaus FC
14,Avaí,Operário Ferroviário,CRB,América de Natal
15,Paraná,Brasiliense,Fortaleza,Brasil de Pelotas
16,Vitória,Ceará,São Caetano,Avaí
17,Mirassol,Joinville,Náutico,Atlético Acreano
18,Bahia,Ypiranga-RS,Avaí,São Caetano
19,Red Bull Bragantino,Portuguesa,Grêmio Prudente,Sampaio Corrêa
20,Ferroviário,Guarani,Fortaleza,Londrina
21,Grêmio Barueri,Atlético Goianiense,Chapecoense,Brasiliense
22,Cuiabá,América Mineiro,CRB,América de Natal
23,Náutico,Criciúma,Atlético Acreano,Santa Cruz
24,ABC,Mirassol,Paysandu,Coritiba
25,Avaí,Guarani,Atlético Acreano,América de Natal
26,Ceará,Ferroviário,Ypiranga-RS,CSA
27,Guarani,Operário Ferroviário,Figueirense,Botafogo-SP
28,América Mineiro,Criciúma,Ipatinga,Ypiranga-RS
29,Cuiabá,Fortaleza,Portuguesa,Santa Cruz
30,Vitória,CSA,Ypiranga-RS,Ceará
31,Grêmio,Paysandu,Juventude,ABC
32,Ponte Preta,Red Bull Bragantino,Coritiba,Atlético Goianiense
33,Sampaio Corrêa,Juventude,Santo André,Manaus FC
34,Figueirense,Brasiliense,Atlético Acreano,Náutico
35,Coritiba,Remo,Vitória,Volta Redonda
36,Fortaleza,Avaí,Bahia,Confiança
37,Brasil de Pelotas,Santo André,Ipatinga,Red Bull Bragantino
38,América Mineiro,Juventude,Ceará,Ypiranga-RS
39,Confiança,Atlético Acreano,Chapecoense,CSA
40,Volta Redonda,Athletico Paranaense,Sampaio Corrêa,Londrina
41,Portuguesa,Remo,Criciúma,Grêmio Barueri
42,Guarani,Figueirense,Volta Redonda,Ypiranga-RS
43,Bahia,Atlético Acreano,Cuiabá,CRB
44,Ypiranga-RS,Fortaleza,Manaus FC,América de Natal
45,Londrina,Juventude,Remo,Brasiliense
46,América Mineiro,Goiás,Portuguesa,Chapecoense
47,ABC,Remo,Operário Ferroviário,Ferroviário
48,Guarani,CSA,Joinville,Sampaio Corrêa
49,Santa Cruz,CRB,Red Bull Bragantino,Goiás
50,São Caetano,Paysandu,Figueirense,Cuiabá
51,Ipatinga,Criciúma,Paraná,Brasil de Pelotas
52,Fluminense,Ypiranga-RS,Ponte Preta,Cuiabá
53,Sampaio Corrêa,Confiança,Bahia,Manaus FC
54,Ceará,ABC,Fortaleza,Cuiabá
55,CSA,Ipatinga,Vitória,Atlético Goianiense
56,Confiança,Ponte Preta,Criciúma,Juventude
57,Náutico,Paraná,Grêmio Prudente,Manaus FC
58,Remo,Ferroviário,Santo André,Cuiabá
59,Brasil de Pelotas,Bahia,Paraná,ABC
60,Paysandu,Santo André,Atlético Acreano,Botafogo-SP
61,Brasil de Pelotas,Figueirense,Brasiliense,América de Natal
62,Grêmio Barueri,Fortaleza,Operário Ferroviário,Sampaio Corrêa
63,Red Bull Bragantino,Guarani,CSA,CRB
64,Londrina,Remo,Coritiba,Joinville
65,Paysandu,Juventude,Chapecoense,Sport
66,Operário Ferroviário,CSA,Mirassol,Santo André
67,Brasiliense,CRB,Chapecoense,ABC
68,Ipatinga,Fortaleza,Atlético Goianiense,Confiança
69,Náutico,Paraná,Juventude,Ferroviário
70,Avaí,Criciúma,Botafogo-SP,Sampaio Corrêa
71,América Mineiro,Ypiranga-RS,Botafogo,Portuguesa
72,Volta Redonda,Criciúma,Goiás,Portuguesa
73,Vasco da Gama,Confiança,Ceará,Santa Cruz
74,Paysandu,Ferroviário,Fortaleza,Atlético Acreano
75,América de Natal,Atlético Goianiense,Red Bull Bragantino,Bahia
76,Vasco da Gama,Ipatinga,Santo André,Operário Ferroviário
77,Coritiba,Sampaio Corrêa,Fortaleza,Náutico
78,Atlético Acreano,Remo,CRB,Goiás
79,América Mineiro,Guarani,Atlético Goianiense,Paraná
80,Operário Ferroviário,Ipatinga,Vitória,Mirassol
