Ano,Campeão (Promovido),2º (Promovido),3º (Promovido),4º (Promovido)
1,Goiás,Figueirense,Portuguesa,Volta Redonda
2,Vasco da Gama,Criciúma,Sport,Bahia
3,Portuguesa,Grêmio Barueri,Mirassol,Goiás
4,São Caetano,Red Bull Bragantino,Ponte Preta,Vitória
5,Portuguesa,Fortaleza,Grêmio Prudente,Juventude
6,Criciúma,Chapecoense,Brasil de Pelotas,Vitória
7,São Caetano,Coritiba,Red Bull Bragantino,Avaí
8,Santo André,Botafogo-SP,Sport,Ceará
9,Avaí,Paraná,Criciúma,Volta Redonda
10,Goiás,Coritiba,Red Bull Bragantino,Vitória
11,Santo André,Juventude,São Caetano,Ponte Preta
12,Atlético Goianiense,Coritiba,Figueirense,Goiás
13,Portuguesa,Ponte Preta,Juventude,Red Bull Bragantino
14,Chapecoense,Volta Redonda,Botafogo-SP,Grêmio Prudente
15,Athletico Paranaense,Sport,Manaus FC,Grêmio
16,Goiás,Botafogo,Coritiba,Operário Ferroviário
17,Ceará,Figueirense,Santa Cruz,Botafogo-SP
18,Vitória,Mirassol,Ponte Preta,Coritiba
19,Figueirense,Avaí,Ypiranga-RS,Joinville
20,Juventude,Portuguesa,Mirassol,Ponte Preta
21,Red Bull Bragantino,Athletico Paranaense,Bahia,Brasil de Pelotas
22,Cruzeiro,Sport,Joinville,São Caetano
23,Brasil de Pelotas,Grêmio Prudente,Cuiabá,Ponte Preta
24,Athletico Paranaense,Chapecoense,Goiás,Sport
25,Santa Cruz,Portuguesa,Mirassol,América Mineiro
26,Vasco da Gama,Paraná,Grêmio Barueri,Bahia
27,Atlético Mineiro,Goiás,Chapecoense,São Caetano
28,Náutico,Ponte Preta,Figueirense,Athletico Paranaense
29,Avaí,Grêmio Prudente,Sport,Santo André
30,Botafogo-SP,Guarani,Cuiabá,Santa Cruz
31,América Mineiro,Vitória,Grêmio Barueri,Portuguesa
32,Grêmio,Grêmio Prudente,Ferroviário,São Caetano
33,Operário Ferroviário,Portuguesa,América Mineiro,Paraná
34,Atlético Mineiro,Ponte Preta,Cuiabá,Botafogo
35,Brasiliense,Goiás,Grêmio Barueri,Sport
36,Náutico,Internacional,São Caetano,Mirassol
37,Coritiba,Atlético Goianiense,Guarani,Fortaleza
38,Sport,Santo André,Goiás,Operário Ferroviário
39,Grêmio Prudente,Ipatinga,Náutico,Brasil de Pelotas
40,Paraná,CSA,Grêmio,América Mineiro
41,Mirassol,Goiás,Atlético Mineiro,Londrina
42,Atlético Goianiense,Criciúma,Brasil de Pelotas,Coritiba
43,Internacional,Botafogo-SP,São Caetano,Ponte Preta
44,Santo André,Bahia,Avaí,Atlético Mineiro
45,Fortaleza,Figueirense,Athletico Paranaense,Botafogo
46,Sport,Juventude,Londrina,Volta Redonda
47,Grêmio,Vasco da Gama,Bahia,Mirassol
48,Chapecoense,Paraná,Fortaleza,Grêmio Prudente
49,Guarani,Avaí,Brasiliense,Operário Ferroviário
50,Athletico Paranaense,Goiás,Red Bull Bragantino,Londrina
51,Coritiba,Mirassol,Grêmio,Botafogo-SP
52,São Paulo,São Caetano,Internacional,Figueirense
53,Paysandu,Ypiranga-RS,Vasco da Gama,Red Bull Bragantino
54,Botafogo-SP,Grêmio Prudente,São Caetano,Operário Ferroviário
55,Athletico Paranaense,Volta Redonda,América Mineiro,Sport
56,CSA,Guarani,Atlético Goianiense,Atlético Mineiro
57,Athletico Paranaense,Coritiba,Ponte Preta,Criciúma
58,Atlético Goianiense,Operário Ferroviário,Vitória,Portuguesa
59,Grêmio Prudente,Cuiabá,Fluminense,Internacional
60,Ceará,Portuguesa,Goiás,Botafogo
61,Cruzeiro,Botafogo-SP,Santos,Atlético Goianiense
62,São Caetano,Ferroviário,Internacional,América de Natal
63,Figueirense,Goiás,Cuiabá,Grêmio
64,Grêmio Barueri,Santos,Brasil de Pelotas,Athletico Paranaense
65,Sampaio Corrêa,Coritiba,Londrina,Red Bull Bragantino
66,América de Natal,Grêmio Prudente,Guarani,Portuguesa
67,CSA,Ponte Preta,Sport,Sampaio Corrêa
68,Cuiabá,Vitória,São Caetano,Mirassol
69,Fortaleza,Operário Ferroviário,Cruzeiro,Vasco da Gama
70,Guarani,Brasil de Pelotas,Grêmio Prudente,Grêmio Barueri
71,Santos,Sampaio Corrêa,Chapecoense,Paraná
72,Fluminense,Mirassol,Botafogo-SP,Coritiba
73,Grêmio Barueri,Vitória,Figueirense,Ypiranga-RS
74,Athletico Paranaense,Internacional,Cuiabá,Avaí
75,Avaí,Ypiranga-RS,Santa Cruz,Ferroviário
76,Grêmio Prudente,Atlético Mineiro,América de Natal,Mirassol
77,Athletico Paranaense,Red Bull Bragantino,Operário Ferroviário,Cuiabá
78,Londrina,Figueirense,Vasco da Gama,Coritiba
79,Goiás,Remo,Juventude,Atlético Acreano
80,Cruzeiro,Paraná,Internacional,Paysandu
